replicate_id,u_membrane:1,h_star_1_membrane:1,peak_h_in_m,peak_h_basement_m,peak_h_sump_m,peak_h_ext_m,total_volume_in_m3
62,0.5652361064811888,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
63,0.7649988574160256,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
64,0.6347183200005908,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
65,0.5535794006579958,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
66,0.5592071607454135,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
67,0.3039500980626122,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
68,0.030817834567939406,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
69,0.43671738923236236,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
70,0.2145846728195292,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
71,0.40852864372463615,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
72,0.8534030732681661,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
73,0.23393948586534075,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
74,0.05830274168906602,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
75,0.28138389202199654,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
76,0.2935937577666836,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
77,0.6619165147268951,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
78,0.5570321523412783,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
79,0.7838982091064135,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
80,0.6643135403273875,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
81,0.4063868614400705,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
82,0.8140203846660347,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
83,0.1669729199077039,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
84,0.022712073133860478,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
85,0.09004786077564175,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
86,0.7223593505964503,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
87,0.4618772302513874,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
88,0.1612717790336018,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
89,0.5010447751033635,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
90,0.15231210271316842,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
91,0.696320375077736,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
92,0.4461562755740307,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
93,0.3810212260964825,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
94,0.3015120891478765,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
95,0.6302825931188885,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
96,0.3618126105533904,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
97,0.087649919316101,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
98,0.11800590212051532,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
99,0.9618976645495145,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
100,0.908580690707607,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
101,0.6997071338107496,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
102,0.2658699614595196,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
103,0.9691763773477239,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
104,0.7787509039657946,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
105,0.7168901891589956,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
106,0.44936150214378867,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
107,0.272241561845159,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
108,0.0963909621534993,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
109,0.9026023965438417,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
110,0.45577628983361107,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
111,0.20236336479523032,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
112,0.3059566241506525,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
113,0.579219568941896,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
114,0.1767727829392317,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
115,0.8566142840923755,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
116,0.7585195298352101,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
117,0.7194629559509368,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
118,0.4320930397751037,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
119,0.6273088407024432,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
120,0.5840979689127356,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
121,0.64984660155482,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
122,0.08444432113988909,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
123,0.41580740217060963,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
124,0.04161417386189248,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
125,0.49399081924451893,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
126,0.3298612123327853,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
127,0.1445241888660469,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
128,0.10340296772255164,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
129,0.587644572177712,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
130,0.1705929685368861,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
131,0.9251201183767972,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
132,0.581061139700395,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
133,0.34686980453483707,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
134,0.5909154914814168,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
135,0.022803871029697498,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
136,0.9585592132414453,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
137,0.48230343694290023,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
138,0.7827352272502862,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
139,0.08272999992243857,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
