time,F_hydro_N,F_drag_N,F_total_N,M_overturn_Nm,H_net_m,H_wet_m,v_m_per_s,lever_hydro_m,lever_drag_m
12120.0,0.0,11136.289884,11136.289884,3530.203893228,0.0,0.634,1.7109999999999999,0.0,0.317
12180.0,0.0,11066.574170999998,11066.574170999998,3463.8377155229996,0.0,0.626,1.7165,0.0,0.313
12240.0,0.0,10995.273072000002,10995.273072000002,3397.5393792480004,0.0,0.618,1.722,0.0,0.309
12300.0,0.0,10922.377875,10922.377875,3331.325251875,0.0,0.61,1.7275,0.0,0.305
12360.0,0.0,10883.919335999999,10883.919335999999,3286.9436394719996,0.0,0.604,1.7329999999999999,0.0,0.302
12420.0,0.0,10844.307513,10844.307513,3242.447946387,0.0,0.598,1.7385,0.0,0.299
12480.0,0.0,10803.535871999997,10803.535871999997,3197.846618111999,0.0,0.592,1.744,0.0,0.296
12540.0,0.0,10761.597879000003,10761.597879000003,3153.1481785470005,0.0,0.586,1.7495,0.0,0.293
12600.0,0.0,10718.486999999997,10718.486999999997,3108.361229999999,0.0,0.58,1.755,0.0,0.29
12660.0,0.0,10637.004377999998,10637.004377999998,3042.183252107999,0.0,0.572,1.7605,0.0,0.286
12720.0,0.0,10553.870303999998,10553.870303999998,2976.191425727999,0.0,0.564,1.766,0.0,0.282
12780.0,0.0,10469.076066000003,10469.076066000003,2910.403146348001,0.0,0.556,1.7715,0.0,0.278
12840.0,0.0,10382.612952,10382.612952,2844.835948848,0.0,0.548,1.777,0.0,0.274
12900.0,0.0,10294.47225,10294.47225,2779.5075075000004,0.0,0.54,1.7825,0.0,0.27
12960.0,0.0,10204.645248000003,10204.645248000003,2714.435635968001,0.0,0.532,1.788,0.0,0.266
13020.0,0.0,10113.123233999999,10113.123233999999,2649.6382873079997,0.0,0.524,1.7934999999999999,0.0,0.262
13080.0,0.0,10019.897496,10019.897496,2585.133553968,0.0,0.516,1.799,0.0,0.258
13140.0,0.0,9924.959322,9924.959322,2520.9396677880004,0.0,0.508,1.8045,0.0,0.254
13200.0,0.0,9828.3,9828.3,2457.075,0.0,0.5,1.81,0.0,0.25
13260.0,0.0,9729.910817999998,9729.910817999998,2393.5580612279996,0.0,0.492,1.8155,0.0,0.246
13320.0,0.0,9629.783064,9629.783064,2330.407501488,0.0,0.484,1.821,0.0,0.242
13380.0,0.0,9527.908026000003,9527.908026000003,2267.642110188001,0.0,0.47600000000000003,1.8265,0.0,0.23800000000000002
13440.0,0.0,9424.276992000001,9424.276992000001,2205.2808161280004,0.0,0.468,1.8319999999999999,0.0,0.234
13500.0,0.0,9318.88125,9318.88125,2143.3426875,0.0,0.46,1.8375,0.0,0.23
13560.0,0.0,9252.471876,9252.471876,2100.311115852,0.0,0.454,1.843,0.0,0.227
13620.0,0.0,9184.767648000001,9184.767648000001,2057.387953152,0.0,0.448,1.8485,0.0,0.224
13680.0,0.0,9115.762032,9115.762032,2014.5834090720002,0.0,0.442,1.854,0.0,0.221
13740.0,0.0,9045.448494,9045.448494,1971.907771692,0.0,0.436,1.8595,0.0,0.218
13800.0,0.0,8973.8205,8973.8205,1929.3714075,0.0,0.43,1.865,0.0,0.215
13860.0,0.0,8858.886273,8858.886273,1869.225003603,0.0,0.422,1.8705,0.0,0.211
13920.0,0.0,8742.129983999997,8742.129983999997,1809.6209066879994,0.0,0.414,1.876,0.0,0.207
13980.0,0.0,8623.542921,8623.542921,1750.5792129630001,0.0,0.406,1.8815,0.0,0.203
14040.0,0.0,8503.116372,8503.116372,1692.120158028,0.0,0.398,1.887,0.0,0.199
14100.0,0.0,8380.841625,8380.841625,1634.264116875,0.0,0.39,1.8925,0.0,0.195
14160.0,0.0,8299.938816,8299.938816,1593.588252672,0.0,0.384,1.898,0.0,0.192
14220.0,0.0,8217.672182999999,8217.672182999999,1553.1400425869997,0.0,0.378,1.9035,0.0,0.189
14280.0,0.0,8134.035192000002,8134.035192000002,1512.9305457120004,0.0,0.372,1.909,0.0,0.186
14340.0,0.0,8049.021308999998,8049.021308999998,1472.9708995469996,0.0,0.366,1.9144999999999999,0.0,0.183
14400.0,0.0,7962.624000000001,7962.624000000001,1433.27232,0.0,0.36,1.92,0.0,0.18
14460.0,0.0,7874.836730999999,7874.836730999999,1393.8461013869999,0.0,0.354,1.9255,0.0,0.177
14520.0,0.0,7785.652968,7785.652968,1354.703616432,0.0,0.348,1.931,0.0,0.174
14580.0,0.0,7695.066176999999,7695.066176999999,1315.8563162669998,0.0,0.342,1.9364999999999999,0.0,0.171
14640.0,0.0,7603.069823999999,7603.069823999999,1277.315730432,0.0,0.336,1.942,0.0,0.168
14700.0,0.0,7509.657375,7509.657375,1239.093466875,0.0,0.33,1.9475,0.0,0.165
14760.0,0.0,7414.822296,7414.822296,1201.201211952,0.0,0.324,1.953,0.0,0.162
14820.0,0.0,7318.558052999999,7318.558052999999,1163.6507304269999,0.0,0.318,1.9585,0.0,0.159
14880.0,0.0,7220.858111999999,7220.858111999999,1126.4538654719997,0.0,0.312,1.964,0.0,0.156
14940.0,0.0,7121.715939,7121.715939,1089.6225386669998,0.0,0.306,1.9695,0.0,0.153
15000.0,0.0,7021.125,7021.125,1053.16875,0.0,0.3,1.975,0.0,0.15
15060.0,0.0,6919.078760999999,6919.078760999999,1017.1045778669998,0.0,0.294,1.9805,0.0,0.147
15120.0,0.0,6815.570687999999,6815.570687999999,981.4421790719998,0.0,0.288,1.986,0.0,0.144
15180.0,0.0,6710.594247000001,6710.594247000001,946.1937888270003,0.0,0.28200000000000003,1.9915,0.0,0.14100000000000001
15240.0,0.0,6604.142904,6604.142904,911.3717207520001,0.0,0.276,1.9969999999999999,0.0,0.138
15300.0,0.0,6496.2101250000005,6496.2101250000005,876.9883668750001,0.0,0.27,2.0025,0.0,0.135
15360.0,0.0,6386.789376000001,6386.789376000001,843.0561976320001,0.0,0.264,2.008,0.0,0.132
15420.0,0.0,6275.8741230000005,6275.8741230000005,809.587761867,0.0,0.258,2.0135,0.0,0.129
15480.0,0.0,6163.457832000001,6163.457832000001,776.5956868320002,0.0,0.252,2.019,0.0,0.126
15540.0,0.0,6049.533968999998,6049.533968999998,744.0926781869998,0.0,0.246,2.0244999999999997,0.0,0.123
15600.0,0.0,5934.095999999998,5934.095999999998,712.0915199999997,0.0,0.24,2.03,0.0,0.12
15660.0,0.0,5866.856513999999,5866.856513999999,692.2890686519999,0.0,0.236,2.0355,0.0,0.118
15720.0,0.0,5798.627951999999,5798.627951999999,672.6408424319998,0.0,0.23199999999999998,2.041,0.0,0.11599999999999999
15780.0,0.0,5729.405957999999,5729.405957999999,653.1522792119999,0.0,0.228,2.0465,0.0,0.114
15840.0,0.0,5659.186176,5659.186176,633.8288517120001,0.0,0.224,2.052,0.0,0.112
15900.0,0.0,5587.96425,5587.96425,614.6760675,0.0,0.22,2.0575,0.0,0.11
15960.0,0.0,5464.664196000001,5464.664196000001,584.7190689720001,0.0,0.214,2.063,0.0,0.107
16020.0,0.0,5339.807928000001,5339.807928000001,555.3400245120001,0.0,0.208,2.0685000000000002,0.0,0.104
16080.0,0.0,5213.388911999999,5213.388911999999,526.552280112,0.0,0.202,2.074,0.0,0.101
16140.0,0.0,5085.400614,5085.400614,498.36926017200005,0.0,0.196,2.0795,0.0,0.098
16200.0,0.0,4955.8365,4955.8365,470.80446750000004,0.0,0.19,2.085,0.0,0.095
16260.0,0.0,4877.132319000001,4877.132319000001,453.5733056670001,0.0,0.186,2.0905,0.0,0.093
16320.0,0.0,4797.391872000001,4797.391872000001,436.5626603520001,0.0,0.182,2.096,0.0,0.091
16380.0,0.0,4716.610803000001,4716.610803000001,419.7783614670002,0.0,0.17800000000000002,2.1015,0.0,0.08900000000000001
16440.0,0.0,4634.784756000001,4634.784756000001,403.2262737720001,0.0,0.17400000000000002,2.107,0.0,0.08700000000000001
16500.0,0.0,4551.909374999999,4551.909374999999,386.912296875,0.0,0.17,2.1125,0.0,0.085
16560.0,0.0,4467.980304,4467.980304,370.842365232,0.0,0.166,2.118,0.0,0.083
16620.0,0.0,4382.993186999999,4382.993186999999,355.0224481469999,0.0,0.162,2.1235,0.0,0.081
16680.0,0.0,4296.943667999999,4296.943667999999,339.4585497719999,0.0,0.158,2.129,0.0,0.079
16740.0,0.0,4209.827391,4209.827391,324.156709107,0.0,0.154,2.1345,0.0,0.077
16800.0,0.0,4121.64,4121.64,309.123,0.0,0.15,2.14,0.0,0.075
16860.0,0.0,4032.3771390000006,4032.3771390000006,294.363531147,0.0,0.146,2.1455,0.0,0.073
16920.0,0.0,3942.034451999999,3942.034451999999,279.8844460919999,0.0,0.142,2.151,0.0,0.071
16980.0,0.0,3850.607583,3850.607583,265.691923227,0.0,0.138,2.1565,0.0,0.069
17040.0,0.0,3758.092176,3758.092176,251.79217579200002,0.0,0.134,2.162,0.0,0.067
17100.0,0.0,3664.483875,3664.483875,238.191451875,0.0,0.13,2.1675,0.0,0.065
17160.0,0.0,3569.778324,3569.778324,224.896034412,0.0,0.126,2.173,0.0,0.063
17220.0,0.0,3473.971167,3473.971167,211.912241187,0.0,0.122,2.1785,0.0,0.061
17280.0,0.0,3377.058048000001,3377.058048000001,199.24642483200006,0.0,0.11800000000000001,2.184,0.0,0.059000000000000004
17340.0,0.0,3279.0346109999996,3279.0346109999996,186.904972827,0.0,0.114,2.1895,0.0,0.057
17400.0,0.0,3179.8965,3179.8965,174.8943075,0.0,0.11,2.195,0.0,0.055
17460.0,0.0,3137.745762,3137.745762,169.438271148,0.0,0.108,2.2005,0.0,0.054
17520.0,0.0,3095.0532960000005,3095.0532960000005,164.03782468800003,0.0,0.106,2.206,0.0,0.053
17580.0,0.0,3051.8169240000007,3051.8169240000007,158.69448004800006,0.0,0.10400000000000001,2.2115,0.0,0.052000000000000005
17640.0,0.0,3008.0344680000003,3008.0344680000003,153.409757868,0.0,0.10200000000000001,2.217,0.0,0.051000000000000004
17700.0,0.0,2963.703750000001,2963.703750000001,148.18518750000007,0.0,0.1,2.2225,0.0,0.05
17760.0,0.0,2859.254784,2859.254784,137.244229632,0.0,0.096,2.2279999999999998,0.0,0.048
17820.0,0.0,2753.6642819999997,2753.6642819999997,126.66855697199999,0.0,0.092,2.2335,0.0,0.046
17880.0,0.0,2646.9278879999997,2646.9278879999997,116.464827072,0.0,0.08800000000000001,2.239,0.0,0.044000000000000004
17940.0,0.0,2539.041246,2539.041246,106.639732332,0.0,0.084,2.2445,0.0,0.042
18000.0,0.0,2430.0,2430.0,97.2,0.0,0.08,2.25,0.0,0.04
18060.0,0.0,2353.481325,2353.481325,91.785771675,0.0,0.078,2.2425,0.0,0.039
18120.0,0.0,2277.8225999999995,2277.8225999999995,86.55725879999999,0.0,0.076,2.235,0.0,0.038
18180.0,0.0,2203.0197750000007,2203.0197750000007,81.51173167500004,0.0,0.07400000000000001,2.2275,0.0,0.037000000000000005
18240.0,0.0,2129.0688000000005,2129.0688000000005,76.64647680000003,0.0,0.07200000000000001,2.22,0.0,0.036000000000000004
18300.0,0.0,2055.965625,2055.965625,71.958796875,0.0,0.07,2.2125,0.0,0.035
18360.0,0.0,1983.7062,1983.7062,67.44601080000001,0.0,0.068,2.205,0.0,0.034
18420.0,0.0,1912.2864749999999,1912.2864749999999,63.105453675,0.0,0.066,2.1975,0.0,0.033
18480.0,0.0,1841.7024000000001,1841.7024000000001,58.934476800000006,0.0,0.064,2.19,0.0,0.032
18540.0,0.0,1771.9499250000001,1771.9499250000001,54.930447675,0.0,0.062,2.1825,0.0,0.031
